"All schools that appeared in the top 100 of USNWR, 2008-13",,,,,,,,,,,,,
,,,,,,,,,,,,,
2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,,Average
New York University,34,New York University,33,New York University,32,New York University,33,New York University,33,New York University,32,,32.83
Northeastern University (MA),96,Northeastern University (MA),96,Northeastern University (MA),80,Northeastern University (MA),69,Northeastern University,62,Northeastern University,49,,75.33
Northwestern University (IL),14,Northwestern University (IL),12,Northwestern University (IL),12,Northwestern University (IL),12,Northwestern University,12,Northwestern University,12,,12.33
Ohio State University Columbus,57,Ohio State University  Columbus*,56,Ohio State University Columbus*,53,Ohio State University  Columbus*,56,Ohio State UniversityColumbus,55,Ohio State University—​Columbus,52,,54.83
Pennsylvania State University University Park,48,Pennsylvania State University  University Park*,47,Pennsylvania State University University Park*,47,Pennsylvania State University  University Park*,47,Pennsylvania State UniversityUniversity Park,45,Pennsylvania State University—​University Park,37,,45.17
Pepperdine University (CA),54,Pepperdine University (CA),56,Pepperdine University (CA),58,Pepperdine University (CA),53,Pepperdine University,55,Pepperdine University,57,,55.50
Princeton University (NJ),1,Princeton University (NJ),2,Princeton University (NJ),1,Princeton University (NJ),2,Princeton University,1,Princeton University,1,,1.33
Purdue University W. Lafayette (IN),64,Purdue University  W. Lafayette (IN)*,66,Purdue University W. Lafayette (IN)*,61,Purdue University  West Lafayette (IN)*,56,Purdue UniversityWest Lafayette,62,Purdue University—​West Lafayette,68,,62.83
Rensselaer Polytechnic Inst. (NY),44,Rensselaer Polytechnic Inst. (NY),41,Rensselaer Polytechnic Inst. (NY),42,Rensselaer Polytechnic Inst. (NY),41,Rensselaer Polytechnic Institute,50,Rensselaer Polytechnic Institute,41,,43.17
Rice University (TX),17,Rice University (TX),17,Rice University (TX),17,Rice University (TX),17,Rice University,17,Rice University,18,,17.17
Rutgers New Brunswick (NJ),59,"Rutgers, St. University of N.J.  N.Brun.*",64,"Rutgers, St. University of NJ. N.Brun.*",66,"Rutgers, State University of N.J.  New Brunswick*",64,"Rutgers, the State University of New JerseyNew Brunswick",68,"Rutgers, the State University of New Jersey—​New Brunswick",69,,65.00
Southern Methodist University (TX),67,Southern Methodist University (TX),66,Southern Methodist University (TX),68,Southern Methodist University (TX),56,Southern Methodist University,62,Southern Methodist University,60,,63.17
St. Louis University,82,St. Louis University,80,St. Louis University,88,St. Louis University,86,St. Louis University,90,St. Louis University,101,,87.83
Stanford University (CA),4,Stanford University (CA),4,Stanford University (CA),4,Stanford University (CA),5,Stanford University,5,Stanford University,5,,4.50
Stevens Inst. of Tech.,75,Stevens Institute of Tech. (NJ),83,Stevens Institute of Tech. (NJ),84,Stevens Institute of Technology (NJ),86,Stevens Institute of Technology,88,Stevens Institute of Technology,82,,83.00
SUNY Binghamton,82,SUNY  Binghamton*,77,SUNY Binghamton*,80,Binghamton University  SUNY*,86,Binghamton UniversitySUNY,90,Binghamton University—​SUNY,97,,85.33
SUNY Col. Envir. Sci.,85,SUNY Col. Envir. Sci. & For.*,83,SUNY Col. of Envir. Sci. & For.*,80,SUNY Col. of Envir. Science and Forestry*,79,SUNY College of Environmental Science and Forestry,82,SUNY College of Environmental Science and Forestry,86,,82.50
SUNY Stony Brook,96,SUNY  Stony Brook*,96,SUNY Stony Brook*,96,SUNY  Stony Brook*,99,Stony Brook UniversitySUNY,111,Stony Brook University—​SUNY,82,,96.67
Syracuse University (NY),50,Syracuse University (NY),53,Syracuse University (NY),58,Syracuse University (NY),55,Syracuse University,62,Syracuse University,62,,56.67
Texas A&M University College Station,62,Texas A&M University  Col. Station*,64,Texas A&M University Col. Station*,61,Texas A&M University  College Station*,63,Texas A&M UniversityCollege Station,58,Texas A&M University—​College Station,69,,62.83
Texas Christian University,108,Texas Christian University,113,Texas Christian University,110,Texas Christian University,99,Texas Christian University,97,Texas Christian University,82,,101.50
Tufts University (MA),28,Tufts University (MA),28,Tufts University (MA),28,Tufts University (MA),28,Tufts University,29,Tufts University,28,,28.17
Tulane University (LA),50,Tulane University (LA),51,Tulane University (LA),50,Tulane University (LA),51,Tulane University,50,Tulane University,52,,50.67
UC  Berkeley,21,UC   Berkeley*,21,UC  Berkeley*,21,UC   Berkeley*,22,University of CaliforniaBerkeley,21,University of California—​Berkeley,20,,21.00
UC  Davis,42,UC   Davis*,44,UC  Davis*,42,UC   Davis*,39,University of CaliforniaDavis,38,University of California—​Davis,39,,40.67
UC  Irvine,44,UC   Irvine*,44,UC  Irvine*,46,UC   Irvine*,41,University of CaliforniaIrvine,45,University of California—​Irvine,49,,44.83
UC Los Angeles,25,UC Los Angeles*,25,UC Los Angeles*,24,UC Los Angeles*,25,University of CaliforniaLos Angeles,25,University of California—​Los Angeles,23,,24.50
UC San Diego,38,UC San Diego*,35,UC San Diego*,35,UC San Diego*,35,University of CaliforniaSan Diego,37,University of California—​San Diego,39,,36.50
UC Santa Barbara,44,UC Santa Barbara*,44,UC Santa Barbara*,42,UC Santa Barbara*,39,University of CaliforniaSanta Barbara,42,University of California—​Santa Barbara,41,,42.00
